FullDateTime,kW_ARCHTECTURE_MAIN_MTR
 9/8/2018 11:00:00 AM,43
 9/8/2018 12:00:00 PM,38
 9/8/2018 1:00:00 PM,72
 9/8/2018 2:00:00 PM,46
 9/8/2018 3:00:00 PM,43
 9/8/2018 4:00:00 PM,39
 9/8/2018 5:00:00 PM,39
 9/8/2018 6:00:00 PM,42
 9/8/2018 7:00:00 PM,49
 9/8/2018 8:00:00 PM,49
 9/8/2018 9:00:00 PM,47
 9/8/2018 10:00:00 PM,47
 9/8/2018 11:00:00 PM,47
 9/9/2018 12:00:00 AM,72
 9/9/2018 1:00:00 AM,46
 9/9/2018 2:00:00 AM,44
 9/9/2018 3:00:00 AM,40
 9/9/2018 4:00:00 AM,42
 9/9/2018 5:00:00 AM,43
 9/9/2018 6:00:00 AM,39
 9/9/2018 7:00:00 AM,43
 9/9/2018 8:00:00 AM,31
 9/9/2018 9:00:00 AM,33
 9/9/2018 10:00:00 AM,33
 9/9/2018 11:00:00 AM,29
 9/9/2018 12:00:00 PM,37
 9/9/2018 1:00:00 PM,41
 9/9/2018 2:00:00 PM,39
 9/9/2018 3:00:00 PM,47
 9/9/2018 4:00:00 PM,43
 9/9/2018 5:00:00 PM,49
 9/9/2018 6:00:00 PM,43
 9/9/2018 7:00:00 PM,51
 9/9/2018 8:00:00 PM,50
 9/9/2018 9:00:00 PM,51
 9/9/2018 10:00:00 PM,52
 9/9/2018 11:00:00 PM,49
 9/10/2018 12:00:00 AM,50
 9/10/2018 1:00:00 AM,49
 9/10/2018 2:00:00 AM,49
 9/10/2018 3:00:00 AM,50
 9/10/2018 4:00:00 AM,48
 9/10/2018 5:00:00 AM,75
 9/10/2018 6:00:00 AM,67
 9/10/2018 7:00:00 AM,78
 9/10/2018 8:00:00 AM,93
 9/10/2018 9:00:00 AM,86
 9/10/2018 10:00:00 AM,84
 9/10/2018 11:00:00 AM,93
 9/10/2018 12:00:00 PM,90
 9/10/2018 1:00:00 PM,90
 9/10/2018 2:00:00 PM,87
 9/10/2018 3:00:00 PM,88
 9/10/2018 4:00:00 PM,87
 9/10/2018 5:00:00 PM,80
 9/10/2018 6:00:00 PM,64
 9/10/2018 7:00:00 PM,66
 9/10/2018 8:00:00 PM,61
 9/10/2018 9:00:00 PM,78
 9/10/2018 10:00:00 PM,53
 9/10/2018 11:00:00 PM,55
 9/11/2018 12:00:00 AM,55
 9/11/2018 1:00:00 AM,54
 9/11/2018 2:00:00 AM,47
 9/11/2018 3:00:00 AM,43
 9/11/2018 4:00:00 AM,42
 9/11/2018 5:00:00 AM,45
 9/11/2018 6:00:00 AM,62
 9/11/2018 7:00:00 AM,78
 9/11/2018 8:00:00 AM,97
 9/11/2018 9:00:00 AM,95
 9/11/2018 10:00:00 AM,102
 9/11/2018 11:00:00 AM,109
 9/11/2018 12:00:00 PM,108
 9/11/2018 1:00:00 PM,105
 9/11/2018 2:00:00 PM,127
 9/11/2018 3:00:00 PM,100
 9/11/2018 4:00:00 PM,103
 9/11/2018 5:00:00 PM,101
 9/11/2018 6:00:00 PM,74
 9/11/2018 7:00:00 PM,80
 9/11/2018 8:00:00 PM,77
 9/11/2018 9:00:00 PM,66
 9/11/2018 10:00:00 PM,65
 9/11/2018 11:00:00 PM,63
 9/12/2018 12:00:00 AM,60
 9/12/2018 1:00:00 AM,58
 9/12/2018 2:00:00 AM,55
 9/12/2018 3:00:00 AM,57
 9/12/2018 4:00:00 AM,53
 9/12/2018 5:00:00 AM,48
 9/12/2018 6:00:00 AM,71
 9/12/2018 7:00:00 AM,82
 9/12/2018 8:00:00 AM,73
 9/12/2018 9:00:00 AM,87
 9/12/2018 10:00:00 AM,87
 9/12/2018 11:00:00 AM,93
 9/12/2018 12:00:00 PM,93
 9/12/2018 1:00:00 PM,91
 9/12/2018 2:00:00 PM,94
 9/12/2018 3:00:00 PM,84
 9/12/2018 4:00:00 PM,85
 9/12/2018 5:00:00 PM,84
 9/12/2018 6:00:00 PM,62
 9/12/2018 7:00:00 PM,74
 9/12/2018 8:00:00 PM,65
 9/12/2018 9:00:00 PM,64
 9/12/2018 10:00:00 PM,58
 9/12/2018 11:00:00 PM,51
 9/13/2018 12:00:00 AM,46
 9/13/2018 1:00:00 AM,49
 9/13/2018 2:00:00 AM,44
 9/13/2018 3:00:00 AM,48
 9/13/2018 4:00:00 AM,43
 9/13/2018 5:00:00 AM,46
 9/13/2018 6:00:00 AM,64
 9/13/2018 7:00:00 AM,83
 9/13/2018 8:00:00 AM,68
 9/13/2018 9:00:00 AM,0
 9/13/2018 10:00:00 AM,84
 9/13/2018 11:00:00 AM,88
 9/13/2018 12:00:00 PM,89
 9/13/2018 1:00:00 PM,89
 9/13/2018 2:00:00 PM,96
 9/13/2018 3:00:00 PM,91
 9/13/2018 4:00:00 PM,90
 9/13/2018 5:00:00 PM,85
 9/13/2018 6:00:00 PM,70
 9/13/2018 7:00:00 PM,66
 9/13/2018 8:00:00 PM,64
 9/13/2018 9:00:00 PM,57
 9/13/2018 10:00:00 PM,54
 9/13/2018 11:00:00 PM,50
 9/14/2018 12:00:00 AM,49
 9/14/2018 1:00:00 AM,42
 9/14/2018 2:00:00 AM,46
 9/14/2018 3:00:00 AM,43
 9/14/2018 4:00:00 AM,45
 9/14/2018 5:00:00 AM,43
 9/14/2018 6:00:00 AM,63
 9/14/2018 7:00:00 AM,74
 9/14/2018 8:00:00 AM,62
 9/14/2018 9:00:00 AM,78
 9/14/2018 10:00:00 AM,83
 9/14/2018 11:00:00 AM,89
 9/14/2018 12:00:00 PM,86
 9/14/2018 1:00:00 PM,90
 9/14/2018 2:00:00 PM,87
 9/14/2018 3:00:00 PM,83
 9/14/2018 4:00:00 PM,79
 9/14/2018 5:00:00 PM,74
 9/14/2018 6:00:00 PM,67
 9/14/2018 7:00:00 PM,63
 9/14/2018 8:00:00 PM,60
 9/14/2018 9:00:00 PM,53
 9/14/2018 10:00:00 PM,47
 9/14/2018 11:00:00 PM,45
 9/15/2018 12:00:00 AM,47
 9/15/2018 1:00:00 AM,44
 9/15/2018 2:00:00 AM,39
 9/15/2018 3:00:00 AM,41
 9/15/2018 4:00:00 AM,38
 9/15/2018 5:00:00 AM,42
 9/15/2018 6:00:00 AM,40
 9/15/2018 7:00:00 AM,36
 9/15/2018 8:00:00 AM,30
 9/15/2018 9:00:00 AM,30
 9/15/2018 10:00:00 AM,34
 9/15/2018 11:00:00 AM,36
 9/15/2018 12:00:00 PM,34
 9/15/2018 1:00:00 PM,41
 9/15/2018 2:00:00 PM,40
 9/15/2018 3:00:00 PM,45
 9/15/2018 4:00:00 PM,45
