"Fiscal Year","Beef Cows","Dairy Cows","Goats","Horses","Other","Poultry","Sheep","Swine","Organic","Synthetic","B100","B20 Fleet","B5 Fleet","Diesel Fleet","E85 Fleet","Gasoline Fleet","Hydrogen","Natural Gas Fleet","Other (Gaseous/solid fuels)","Other (Liquid fuels)","Coal (Steam Coal)","Distillate BioHeat","Distillate Oil (#1-4)","Ethanol","Grass Pellets","Incinerated Waste","LPG (Propane)","Natural Gas","Other","Residual BioHeat","Residual Oil (#5-6)","Solar - Electric","Solar - Thermal","Wind","Wood Chips","Wood Pellets","Coal (Steam Coal)","Distillate BioHeat","Distillate Oil (#1-4)","Ethanol","Grass Pellets","Incinerated Waste","LPG (Propane)","Natural Gas","Other","Residual BioHeat","Residual Oil (#5-6)","Solar - Electric","Solar - Thermal","Wind","Wood Chips","Wood Pellets","HCFC-22","HCFE-235da2","HFC-134a","HG-10","Other","R-404a","Chilled Water","Electricity","Other","Steam","Biogas","Hydro","Other","Solar","Wind","Biogas","Hydro","Other","Solar","Wind","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Automobile","Bike","Carpool","Commuter Rail","Light Rail","Public Bus","Walk","Faculty / Staff","Students","Alternative Fuel Bus","Charter Bus - CNG","Charter Bus - Diesel","Charter Bus - Other","Personal Mileage Reimbursement","Public Bus","Taxi / Ferry / Rental Car","Train","Other","Coated Freesheet","Coated Groundwood","Corrugated Bleached","Corrugated Semibleached","Corrugated Unbleached","Paperboard Coated Recycled","Paperboard CUK","Paperboard SBS","Paperboard Uncoated Bleached Kraft","Paperboard Uncoated Unbleached Kraft","Supercalendered","Uncoated Freesheet","Uncoated Groundwood","Mass Burn","Refuse Derived Fuel (RDF)","CH4 Recovery and Electric Generation","CH4 Recovery and Flaring","No CH4 Recovery","Other","Air Travel","Automobile","Carpool","Public Bus","Train","Air Travel","Aerobic","Anaerobic","Anaerobic Digestion","Other","Septic System","T&D Losses"
"","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu","MMBtu"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
