"Fiscal Year","Name","Vendor","Organic","Local","Category 1","Category 2","Category 3","Weight","Unit","Dollars"
2017,"CAJUN SEASONING","","No","No","Spices","","","117.55384615385","kilogram","0"
2017,"CAKE &ICING","","No","No","Sugars","","","2095.3846153846","kilogram","0"
2017,"CANOLA/OLIVE OIL","","No","No","Oils","","","1153.8461538462","kilogram","0"
2017,"CAPERS","","No","No","Vegetables","","","411.43846153846","kilogram","0"
2017,"CAPPICINO TOPPING MIX","","No","No","Sugars","","","557.29230769231","kilogram","0"
2017,"CARAMEL TOPPING","","No","No","Sugars","","","1047.6923076923","kilogram","0"
2017,"CARROT STICKS","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"CARROTS","","No","No","Vegetables","","","174.61538461538","kilogram","0"
2017,"CASHEWS","","No","No","Nuts","","","873.07692307692","kilogram","0"
2017,"CAYENNE PEPPER","","No","No","Vegetables","","","30.769230769231","kilogram","0"
2017,"CAYENNE PEPPER SAUCE (1)","","No","No","Vegetables","","","582.30769230769","kilogram","0"
2017,"CAYENNE PEPPER SAUCE (2)","","No","No","Vegetables","","","582.80769230769","kilogram","0"
2017,"CELERY","","No","No","Vegetables","","","130.61538461538","kilogram","0"
2017,"CELERY STALK","","No","No","Vegetables","","","174.61538461538","kilogram","0"
2017,"CEREAL CRISPIX","","No","No","Grains","","","1044.9230769231","kilogram","0"
2017,"CEREAL RICE KRISPIES (1)","","No","No","Grains","","","117.55384615385","kilogram","0"
2017,"CEREAL RICE KRISPIES (2)","","No","No","Sugars","","","117.55384615385","kilogram","0"
2017,"CHEDDAR CHEESE (1)","","No","No","Cheese","","","698.46153846154","kilogram","0"
2017,"CHEDDAR CHEESE (2)","","No","No","Cheese","","","419.07692307692","kilogram","0"
2017,"CHEESE SAUCE","","No","No","Cheese","","","2076.9230769231","kilogram","0"
2017,"CHERRIES","","No","No","Fruits","","","873.46153846154","kilogram","0"
2017,"CHERRIOS","","No","No","Grains","","","679.2","kilogram","0"
2017,"CHERRY FILLING (1)","","No","No","Fruits","","","663.53846153846","kilogram","0"
2017,"CHERRY FILLING (2)","","No","No","Sugars","","","663.53846153846","kilogram","0"
2017,"CHERRY PIE (1)","","No","No","Fruits","","","200.27692307692","kilogram","0"
2017,"CHERRY PIE (2)","","No","No","Grains","","","200.27692307692","kilogram","0"
2017,"CHERRY PIE (3)","","No","No","Sugars","","","200.27692307692","kilogram","0"
2017,"CHERRY PIE FILLING (1)","","No","No","Fruits","","","665.38461538462","kilogram","0"
2017,"CHERRY PIE FILLING (2)","","No","No","Sugars","","","665.38461538462","kilogram","0"
2017,"CHICKEN BASE","","No","No","Liquids","","","209.53846153846","kilogram","0"
2017,"CHICKEN BREAST (1)","","No","No","Chicken","","","347.76346153846","kilogram","0"
2017,"CHICKEN BREAST (2)","","No","No","Chicken","","","1052.76","kilogram","0"
2017,"CHICKEN BREAST PATTY","","No","No","Chicken","","","1730.6538461538","kilogram","0"
2017,"CHICKEN CORN DOG (1)","","No","No","Chicken","","","313.47692307692","kilogram","0"
2017,"CHICKEN CORN DOG (2)","","No","No","Grains","","","313.47692307692","kilogram","0"
2017,"CHICKEN LEG","","No","No","Chicken","","","4889.2307692308","kilogram","0"
2017,"CHICKEN SEASONING","","No","No","Spices","","","261.23076923077","kilogram","0"
2017,"CHICKEN THIGH","","No","No","Chicken","","","1396.9230769231","kilogram","0"
2017,"CHICKEN THIGH FRY","","No","No","Chicken","","","835.93846153846","kilogram","0"
2017,"CHILI PASTE","","No","No","Vegetables","","","470.21538461538","kilogram","0"
2017,"CHILI POWDER","","No","No","Spices","","","384.15384615385","kilogram","0"
2017,"CHINESE 5 SPICES","","No","No","Spices","","","104.49230769231","kilogram","0"
2017,"CHIPOTLE PEPPERS","","No","No","Vegetables","","","1462.8923076923","kilogram","0"
2017,"CHIPS POTATOS (1)","","No","No","Potatoes","","","107.69230769231","kilogram","0"
2017,"CHIPS POTATOS (2)","","No","No","Potatoes","","","208.98461538462","kilogram","0"
2017,"CHOCO CHIP","","No","No","Sugars","","","873.07692307692","kilogram","0"
2017,"CHOCO PUDDING","","No","No","Milk","","","2076.9230769231","kilogram","0"
2017,"CHOCO SYRUP","","No","No","Sugars","","","2076.9230769231","kilogram","0"
2017,"CHOPPED CLAM","","No","No","Fish","","","1332.2769230769","kilogram","0"
2017,"CINIMMON TOAST CRUNCH","","No","No","Grains","","","783.69230769231","kilogram","0"
2017,"CINNIMON","","No","No","Spices","","","39.184615384615","kilogram","0"
2017,"CITRUS CRYSTL LIGHT","","No","No","Liquids","","","6987.6923076923","kilogram","0"
2017,"COCOA CRISPIES","","No","No","Grains","","","653.07692307692","kilogram","0"
2017,"COCOA PUFFS","","No","No","Grains","","","304.76923076923","kilogram","0"
2017,"COCONUT MILK","","No","No","Fruits","","","2076.9230769231","kilogram","0"
2017,"COFFEE","","No","No","Coffee and tea","","","348.30769230769","kilogram","0"
2017,"COFFEE DECAF","","No","No","Coffee and tea","","","348.30769230769","kilogram","0"
2017,"COKE","","No","No","Liquids","","","4367.3076923077","kilogram","0"
2017,"COKE ZERO","","No","No","Liquids","","","2911.5384615385","kilogram","0"
2017,"COOKED EGGS","","No","No","Eggs","","","752.34461538462","kilogram","0"
2017,"COOKIE DOUGH 2X CHOCO CHIP (1)","","No","No","Grains","","","694.87384615384","kilogram","0"
2017,"COOKIE DOUGH 2X CHOCO CHIP (2)","","No","No","Sugars","","","694.87384615384","kilogram","0"
2017,"COOKIE DOUGH BUTTER SUGAR (1)","","No","No","Grains","","","347.43692307692","kilogram","0"
2017,"COOKIE DOUGH BUTTER SUGAR (2)","","No","No","Sugars","","","347.43692307692","kilogram","0"
2017,"COOKIE DOUGH CHOCO CHIP (1)","","No","No","Grains","","","1393.2307692308","kilogram","0"
2017,"COOKIE DOUGH CHOCO CHIP (2)","","No","No","Sugars","","","1393.2307692308","kilogram","0"
2017,"COOKIE DOUGH OATMEAL RASIN","","No","No","Grains","","","696.61538461538","kilogram","0"
