"","Scope 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Scope 2","","","","","","","","","","","","","","Scope 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sinks","","","","","","","",""
2016,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2017,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2018,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2019,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2020,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2021,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2022,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2023,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2024,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2025,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2026,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2027,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2028,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2029,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2030,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2031,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2032,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2033,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2034,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2035,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2036,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2037,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2038,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2039,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2040,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2041,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2042,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2043,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2044,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2045,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2046,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2047,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2048,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2049,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2050,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2051,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2052,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2053,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2054,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2055,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
2056,,,,,,,,,0.2494756,0.2494756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000142,0.000142,0.0000189,,0.000161,-18.14,-9.436,,,,,,,
